step,z,error,reward
1,0.5296822,0.47031775,0.5255947709083557
2,0.53002286,0.46997717,0.5218485593795776
3,0.5305337,0.46946633,0.5182733535766602
4,0.5312147,0.46878526,0.514869213104248
5,0.532066,0.467934,0.5116361379623413
6,0.5330874,0.46691263,0.5085741281509399
7,0.53427887,0.46572113,0.505683183670044
8,0.5356404,0.4643596,0.5029633045196533
9,0.53717196,0.46282804,0.5004146695137024
10,0.5388735,0.46112654,0.4980370104312897
11,0.5407449,0.4592551,0.49583056569099426
12,0.5427862,0.4572138,0.493795245885849
13,0.5449973,0.4550027,0.4919309914112091
14,0.5473781,0.45262185,0.49023789167404175
15,0.54992867,0.45007133,0.4887158274650574
16,0.55264884,0.44735116,0.4873649477958679
17,0.55553854,0.44446144,0.48618513345718384
18,0.5585978,0.44140223,0.4851764738559723
19,0.5618264,0.43817356,0.4843388497829437
20,0.56522447,0.43477556,0.48367223143577576
21,0.56879175,0.43120825,0.48317673802375793
22,0.57252824,0.42747176,0.4828522205352783
23,0.57643384,0.42356613,0.4826987385749817
24,0.58050853,0.41949144,0.4827161729335785
25,0.5847522,0.4152478,0.4829045236110687
26,0.58916473,0.41083527,0.4832638204097748
27,0.59374607,0.40625393,0.4837940037250519
28,0.59849614,0.4015039,0.48449498414993286
29,0.6034148,0.39658523,0.4853668510913849
30,0.608502,0.39149803,0.486409455537796
31,0.6137576,0.38624242,0.48762276768684387
32,0.6191815,0.38081846,0.4890066981315613
33,0.62477374,0.3752263,0.4905613660812378
34,0.63053405,0.36946598,0.4922865629196167
35,0.6364624,0.36353764,0.4941822588443756
36,0.64255863,0.35744137,0.4962485134601593
37,0.64882267,0.3511773,0.49848508834838867
38,0.6552545,0.34474555,0.500892162322998
39,0.6618538,0.3381462,0.5034694075584412
40,0.66862065,0.33137938,0.5062168836593628
41,0.6755548,0.3244452,0.5091346502304077
42,0.6826562,0.3173438,0.512222409248352
43,0.6899247,0.31007528,0.5154802799224854
44,0.6973602,0.30263978,0.5189080834388733
45,0.7049626,0.2950374,0.5225057601928711
46,0.7127317,0.2872683,0.526273250579834
47,0.7206674,0.2793326,0.5302104353904724
48,0.72875625,0.27124378,0.534624457359314
49,0.73690677,0.26309326,0.5412944555282593
50,0.7450437,0.25495633,0.549757182598114
51,0.7531058,0.2468942,0.559614896774292
52,0.76104397,0.23895605,0.5705283284187317
53,0.76881933,0.23118068,0.5822104215621948
54,0.77642065,0.22357933,0.5939883589744568
55,0.7838481,0.21615188,0.6055891513824463
