stage,step,mean_form_error_m,mean_z_error_m,min_dyn_distance_m,collision_flag,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,roll_rad,pitch_rad,yaw_rad,wx_rps,wy_rps,wz_rps,x_des_m,y_des_m,z_des_m
stage2_move_slow_static,0,0.00028332736110314727,0.0,inf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
stage2_move_slow_static,1,0.0005666757351718843,0.0,inf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025,0.00013333333,1.0
stage2_move_slow_static,2,0.000849992036819458,0.0,inf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-5.1259995e-05,9.608269e-05,0.0,-0.012285671,0.023035634,0.0,0.0005,0.00026666664,1.0
stage2_move_slow_static,3,0.001133360550738871,0.0,inf,0.0,1.6346902e-08,8.718348e-09,1.0,3.9232564e-06,2.0924035e-06,-2.41836e-10,0.00035595894,-0.00026631355,0.0,0.09770401,-0.086956345,-4.9264877e-06,0.00075,0.00039999993,1.0
stage2_move_slow_static,4,0.001416801125742495,0.0,inf,0.0,-1.26700055e-08,-4.3181004e-08,1.0,-6.964058e-06,-1.2455845e-05,9.655099e-10,0.00030469894,-0.00017023087,0.0,-0.012306065,0.023051191,1.3546341e-05,0.001,0.00053333316,1.0
stage2_move_slow_static,5,0.0017003786051645875,0.0,inf,0.0,-7.068332e-08,-1.469526e-07,1.0,-1.3923196e-05,-2.4905183e-05,-5.776381e-10,0.00071167946,-0.0005326271,-9.536743e-07,0.09768366,-0.08694072,-0.00020088782,0.00125,0.00066666637,1.0
stage2_move_slow_static,6,0.0019840497989207506,0.0,inf,0.0,-2.1938332e-07,-3.719054e-07,1.0,-3.5688e-05,-5.3988675e-05,1.2216935e-09,0.00066018105,-0.00043654442,1.5974045e-05,-0.012328657,0.02306379,0.0040782974,0.0015,0.00079999946,1.0
stage2_move_slow_static,7,0.0022679411340504885,0.0,inf,0.0,-4.4238223e-07,-7.092667e-07,1.0,-5.351974e-05,-8.096671e-05,-1.2853386e-09,0.0010671616,-0.0007984638,-8.893013e-05,0.0976752,-0.086907335,-0.025108373,0.00175,0.0009333325,1.0
stage2_move_slow_static,8,0.002552029909566045,0.0,inf,0.0,-8.0135254e-07,-1.2283159e-06,1.0,-8.6152875e-05,-0.00012457182,9.313753e-10,0.0010156631,-0.00070238113,-7.176399e-05,-0.012356542,0.023069773,0.0040882574,0.002,0.0010666654,1.0
stage2_move_slow_static,9,0.002836402039974928,0.0,inf,0.0,-1.2798918e-06,-1.9202487e-06,1.0,-0.00011484941,-0.00016606388,-5.142718e-12,0.0014226437,-0.001064539,-0.00017666817,0.097645454,-0.086900614,-0.025108248,0.00225,0.0011999982,1.0
stage2_move_slow_static,10,0.0031209823209792376,0.0,inf,0.0,-1.9396646e-06,-2.8543063e-06,1.0,-0.00015834547,-0.0002241738,-1.1754621e-09,0.0013711452,-0.00096821785,-0.00015950203,-0.012384416,0.023075758,0.0040981993,0.0025,0.0013333309,1.0
stage2_move_slow_static,11,0.003405895084142685,0.0,inf,0.0,-2.7642538e-06,-4.0216523e-06,1.0,-0.0001979014,-0.00028016308,1.5291992e-09,0.001087904,-0.0013303757,-0.00026464462,-0.06800496,-0.08686746,-0.025268493,0.00275,0.0014666634,1.0
stage2_move_slow_static,12,0.0036910660564899445,0.0,inf,0.0,-3.815291e-06,-5.3739595e-06,1.0,-0.00025224898,-0.00032455366,-2.7532912e-10,0.0012626648,-0.0012340546,-0.00024747849,0.04197986,0.023085164,0.0041644666,0.003,0.0015999958,1.0
stage2_move_slow_static,13,0.0039765783585608006,0.0,inf,0.0,-5.076344e-06,-6.9409825e-06,1.0,-0.0003026527,-0.00037608558,-2.1615695e-10,0.0009794235,-0.001595974,-0.00035238266,-0.06800767,-0.08684218,-0.025272196,0.00325,0.0017333279,1.0
stage2_move_slow_static,14,0.0042624082416296005,0.0,inf,0.0,-6.609015e-06,-8.674391e-06,1.0,-0.00036784107,-0.00041601813,-8.9364954e-10,0.0011541843,-0.0014996529,-0.00033521652,0.041978996,0.023103956,0.0041780593,0.0035,0.0018666598,1.0
stage2_move_slow_static,15,0.004548565950244665,0.0,inf,0.0,-8.39685e-06,-1.0603946e-05,1.0,-0.00042908022,-0.000463093,3.7916761e-10,0.0008711815,-0.0018615723,-0.0004401207,-0.068010375,-0.086816914,-0.025275892,0.00375,0.0019999917,1.0
stage2_move_slow_static,16,0.0048350924625992775,0.0,inf,0.0,-1.050142e-05,-1.2681311e-05,1.0,-0.0005050969,-0.0004985678,-1.2638145e-09,0.0010459423,-0.0017650127,-0.00042295456,0.04197814,0.02312274,0.0041916356,0.004,0.002133323,1.0
stage2_move_slow_static,17,0.005121971480548382,0.0,inf,0.0,-1.2906249e-05,-1.4936253e-05,1.0,-0.00057715905,-0.0005411859,-7.540151e-11,0.00076270103,-0.0020997524,-0.0005276203,-0.06801034,-0.080295496,-0.02527279,0.00425,0.0022666545,1.0
stage2_move_slow_static,18,0.005409243516623974,0.0,inf,0.0,-1.5668273e-05,-1.7320435e-05,1.0,-0.0006628854,-0.0005722038,3.6432307e-10,0.00093746185,-0.0019762516,-0.0005104542,0.04198134,0.029636104,0.00420899,0.0045,0.0023999857,1.0
stage2_move_slow_static,19,0.00569689366966486,0.0,inf,0.0,-1.8766379e-05,-1.986363e-05,1.0,-0.00074354577,-0.0006103666,-5.2925525e-10,0.000654459,-0.0023109913,-0.00061511993,-0.06801342,-0.08027329,-0.025273532,0.00475,0.0025333164,1.0
stage2_move_slow_static,20,0.005984949413686991,0.0,inf,0.0,-2.2257482e-05,-2.2517499e-05,1.0,-0.0008378644,-0.0006369287,-6.586239e-10,0.0008292198,-0.002187252,-0.0005979538,0.041981682,0.02965185,0.004219532,0.005,0.0026666468,1.0
stage2_move_slow_static,21,0.006273438222706318,0.0,inf,0.0,-2.612045e-05,-2.531182e-05,1.0,-0.00092711265,-0.0006706369,6.0504535e-10,0.00054597855,-0.0025217533,-0.00070261955,-0.06801651,-0.0802511,-0.02527427,0.00525,0.002799977,1.0
stage2_move_slow_static,22,0.006562335882335901,0.0,inf,0.0,-3.0412171e-05,-2.8198252e-05,1.0,-0.0010300131,-0.0006927438,4.2674746e-11,0.0007209778,-0.002398014,-0.0006854534,0.041982025,0.02966759,0.0042300606,0.0055,0.002933307,1.0
stage2_move_slow_static,23,0.006851614452898502,0.0,inf,0.0,-3.51115e-05,-3.1206575e-05,1.0,-0.0011278389,-0.00072199793,9.537979e-10,0.0004377365,-0.0023627281,-0.00078988075,-0.0679589,0.008529582,-0.02521102,0.00575,0.0030666366,1.0
stage2_move_slow_static,24,0.007141237612813711,0.0,inf,0.0,-4.0212308e-05,-3.42885e-05,1.0,-0.0012241938,-0.0007396615,-1.5800361e-09,0.00061249733,-0.0018692017,-0.0007724762,0.04206163,0.1184214,0.004263731,0.006,0.003199966,1.0
stage2_move_slow_static,25,0.00743115833029151,0.0,inf,0.0,-4.5630473e-05,-3.747386e-05,1.0,-0.0013003596,-0.0007644865,-2.5066735e-10,0.00032925606,-0.0018339157,-0.0008766651,-0.06796716,0.008510038,-0.025171358,0.00625,0.0033332948,1.0
stage2_move_slow_static,26,0.00772132957354188,0.0,inf,0.0,-5.1359897e-05,-4.071437e-05,1.0,-0.0013750622,-0.0007777227,-1.6414888e-10,0.0005042553,-0.0013403893,-0.000859499,0.042078517,0.11839544,0.004233339,0.0065,0.0034666234,1.0
stage2_move_slow_static,27,0.008011754602193832,0.0,inf,0.0,-5.73165e-05,-4.4039887e-05,1.0,-0.0014295846,-0.0007981237,-4.123169e-10,0.00022101402,-0.0013053417,-0.0009636879,-0.06797541,0.0084905075,-0.025131706,0.00675,0.0035999515,1.0
stage2_move_slow_static,28,0.008302335627377033,0.0,inf,0.0,-6.349421e-05,-4.740213e-05,1.0,-0.001482651,-0.0008069378,9.471789e-10,0.00039577484,-0.0008120537,-0.00094628334,0.04209537,0.11836949,0.0042029507,0.007,0.0037332792,1.0
stage2_move_slow_static,29,0.008593053556978703,0.0,inf,0.0,-6.980899e-05,-5.083096e-05,1.0,-0.0015155463,-0.0008229201,-1.38004e-10,0.00011253357,-0.00077700615,-0.0010507107,-0.067983635,0.00847099,-0.025092062,0.00725,0.0038666064,1.0
stage2_move_slow_static,30,0.008883851580321789,0.0,inf,0.0,-7.625479e-05,-5.4278116e-05,1.0,-0.0015469932,-0.00082731724,-3.3986206e-10,0.0002875328,-0.0002837181,-0.0010335445,0.042112198,0.11834355,0.0041725663,0.0075,0.003999933,1.0
stage2_move_slow_static,31,0.009174755774438381,0.0,inf,0.0,-8.274762e-05,-5.7773475e-05,1.0,-0.0015582779,-0.0008388861,-7.135021e-10,4.2915344e-06,-0.00024867058,-0.0011377335,-0.067991845,0.008451487,-0.025052425,0.00775,0.00413326,1.0
stage2_move_slow_static,32,0.009465634822845459,0.0,inf,0.0,-8.928146e-05,-6.126877e-05,1.0,-0.0015681214,-0.00083887146,1.5588707e-09,0.00017929077,0.00024437904,-0.0011205673,0.042128995,0.11831761,0.0041421866,0.008,0.0042665857,1.0
stage2_move_slow_static,33,0.009756505489349365,0.0,inf,0.0,-9.577234e-05,-6.479391e-05,1.0,-0.0015578119,-0.000846032,-2.8791458e-10,-0.00010418892,0.00027918816,-0.0012247562,-0.06800003,0.008431996,-0.025012797,0.00825,0.004399911,1.0
stage2_move_slow_static,34,0.01004730723798275,0.0,inf,0.0,-0.0001022143,-6.8300615e-05,1.0,-0.0015460686,-0.00084161083,7.7762236e-10,7.081032e-05,0.0007722378,-0.0012075901,0.042145763,0.11829168,0.004111811,0.0085,0.0045332364,1.0
