stage,step,mean_form_error_m,mean_z_error_m,min_dyn_distance_m,collision_flag,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,roll_rad,pitch_rad,yaw_rad,wx_rps,wy_rps,wz_rps,x_des_m,y_des_m,z_des_m
stage3_move_medium_static,0,0.0004958362551406026,0.0,inf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
stage3_move_medium_static,1,0.0009916613344103098,0.0,inf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004375,0.00023333333,1.0
stage3_move_medium_static,2,0.0014874537009745836,0.0,inf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.00010442734,0.00019598007,0.0,-0.025083244,0.047031086,0.0,0.000875,0.00046666656,1.0
stage3_move_medium_static,3,0.0019832849502563477,0.0,inf,0.0,3.3374924e-08,1.7799959e-08,1.0,8.009982e-06,4.2719903e-06,-1.0080698e-09,0.00024938583,-6.6280365e-05,0.0,0.08490931,-0.06296629,-1.0058248e-05,0.0013125,0.0006999996,1.0
stage3_move_medium_static,4,0.002479090355336666,0.0,inf,0.0,5.5434707e-08,-6.858491e-09,1.0,5.2943483e-06,-5.918028e-06,1.6240956e-09,0.00014472008,0.0001296997,0.0,-0.025097301,0.047035266,2.7657092e-05,0.00175,0.0009333325,1.0
stage3_move_medium_static,5,0.002974975388497114,0.0,inf,0.0,9.955961e-08,-5.6156566e-08,1.0,1.0589975e-05,-1.1831537e-05,-1.6536889e-09,0.00049853325,-0.00013279915,-1.66893e-06,0.08489521,-0.06296204,-0.00041014788,0.0021875,0.001166665,1.0
stage3_move_medium_static,6,0.003470874158665538,0.0,inf,0.0,1.2106483e-07,-1.903338e-07,1.0,5.161253e-06,-3.2202533e-05,3.3371123e-10,0.0003938675,6.318092e-05,3.3140182e-05,-0.02511247,0.047035225,0.0083241295,0.002625,0.0013999972,1.0
stage3_move_medium_static,7,0.003966848365962505,0.0,inf,0.0,1.5333558e-07,-3.9155196e-07,1.0,7.744981e-06,-4.8292364e-05,-9.961341e-10,0.00074744225,-0.00019907951,-5.38826e-05,0.08488044,-0.062947795,-0.02088915,0.0030625,0.0016333289,1.0
stage3_move_medium_static,8,0.004462887533009052,0.0,inf,0.0,1.5169118e-07,-7.2003036e-07,1.0,-3.946567e-07,-7.883481e-05,4.9448384e-10,0.0006427765,-3.0994415e-06,-1.9311905e-05,-0.025130926,0.047031358,0.0083371615,0.0035,0.0018666598,1.0
stage3_move_medium_static,9,0.004959064070135355,0.0,inf,0.0,1.4951792e-07,-1.1579092e-06,1.0,-5.215829e-07,-0.00010509092,-1.4032644e-09,0.0009963512,-0.00026535988,-0.000106334686,0.08485818,-0.06295014,-0.020896204,0.0039375,0.0020999904,1.0
stage3_move_medium_static,10,0.005455289501696825,0.0,inf,0.0,1.0213209e-07,-1.7653821e-06,1.0,-1.1372598e-05,-0.0001457935,9.62053e-10,0.00089144707,-6.937981e-05,-7.1525574e-05,-0.025149373,0.047027495,0.0083501795,0.004375,0.0023333202,1.0
stage3_move_medium_static,11,0.005951692350208759,0.0,inf,0.0,4.2921098e-08,-2.524568e-06,1.0,-1.4210638e-05,-0.00018220457,1.885005e-10,0.0012450218,-0.00033164024,-0.00015878677,0.084835924,-0.06295248,-0.020903252,0.0048125,0.002566649,1.0
