step,reward,mean_form_error_m,mean_z_error_m,min_dyn_distance_m,collision_flag,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,roll_rad,pitch_rad,yaw_rad,wx_rps,wy_rps,wz_rps,x_des_m,y_des_m,z_des_m,ic_pos_jitter_d0_x_m,ic_pos_jitter_d0_y_m,ic_pos_jitter_d0_z_m,ic_yaw_jitter_d0_rad,ic_vel_jitter_d0_x_mps,ic_vel_jitter_d0_y_mps,ic_vel_jitter_d0_z_mps,ic_pos_jitter_d1_x_m,ic_pos_jitter_d1_y_m,ic_pos_jitter_d1_z_m,ic_yaw_jitter_d1_rad,ic_vel_jitter_d1_x_mps,ic_vel_jitter_d1_y_mps,ic_vel_jitter_d1_z_mps,ic_pos_jitter_d2_x_m,ic_pos_jitter_d2_y_m,ic_pos_jitter_d2_z_m,ic_yaw_jitter_d2_rad,ic_vel_jitter_d2_x_mps,ic_vel_jitter_d2_y_mps,ic_vel_jitter_d2_z_mps,ic_pos_jitter_d3_x_m,ic_pos_jitter_d3_y_m,ic_pos_jitter_d3_z_m,ic_yaw_jitter_d3_rad,ic_vel_jitter_d3_x_mps,ic_vel_jitter_d3_y_mps,ic_vel_jitter_d3_z_mps,ic_pos_jitter_d4_x_m,ic_pos_jitter_d4_y_m,ic_pos_jitter_d4_z_m,ic_yaw_jitter_d4_rad,ic_vel_jitter_d4_x_mps,ic_vel_jitter_d4_y_mps,ic_vel_jitter_d4_z_mps,ic_obstacle_jitter_x_m,ic_obstacle_jitter_y_m,ic_obstacle_jitter_z_m,ic_dynamic_jitter_x_m,ic_dynamic_jitter_y_m,ic_dynamic_jitter_z_m,ic_disable_dynamic_flag,ic_chase_mode
,,,,,,,,,,,,,,,,,,,,,0.26061678123032267,-0.2249877008241531,0.18012158786892363,0.38446866410871694,-0.00233595775213985,-0.047239915088578666,0.16345360166936412,-0.09716884574900378,0.2294219293382242,0.25400702099318545,0.2974703631202543,-0.10835908730918634,0.019785688816788077,-0.08683890846736562,-0.2698644756800543,0.16948213024181324,0.01722798872110931,0.37583566173224925,-0.02210766135328912,-0.148979387907124,0.1429310012285207,-0.16262516631420984,-0.09757966044797253,0.11409894242384655,0.04234247189042212,0.12932858408526432,-0.09150079640459406,0.048448822438190986,0.08533492308402979,-0.12185345324447075,0.25119713661197324,0.34491649061575924,0.1026646871950882,-0.1035960573850384,-0.14088634185248392,0.24491981114088546,-0.18796508293187453,0.39929376878948264,-0.12491370284721076,-0.2896006945762979,-0.13841549994538183,0.0,nearest
0.0,-0.0023789461334815516,0.0006765179568901658,0.0005263686180114746,1.389547348022461,0.0,0.0,0.0,0.9994741,0.0,0.0,-0.00011735203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,-0.0023811659713738435,0.0010000357870012522,0.0005268454551696777,1.3895107507705688,0.0,0.0,0.0,0.99947363,0.0,0.0,-0.000115978655,0.0,0.0,0.0,0.0,0.0,0.0,0.000375,0.0002,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,-0.0023823334764609297,0.0013796883868053555,0.0005273222923278809,1.389456033706665,0.0,0.0,0.0,0.99947315,0.0,0.0,-0.00011482937,-0.00012803078,0.00023984909,0.0,-0.030714178,0.057589088,0.0,0.00075,0.00039999993,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,-0.002384226023482234,0.0017799704801291227,0.0005277395248413086,1.3893834352493286,0.0,4.0868432e-08,2.1796497e-08,0.9994727,9.808424e-06,5.2311593e-06,-0.000113628994,0.00020241737,2.1457672e-05,0.0,0.07927969,-0.052410748,-1.2316217e-05,0.001125,0.0005999998,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,-0.00238615812591811,0.002189511200413108,0.0005282163619995117,1.3892929553985596,0.0,8.540319e-08,9.123658e-09,0.99947226,1.0688342e-05,-3.041481e-06,-0.00011243842,7.43866e-05,0.00026154518,1.1920929e-06,-0.03072544,0.05758821,0.00028527447,0.0015,0.00079999946,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,-0.0023881129922141103,0.0026040482334792614,0.0005286931991577148,1.389184832572937,0.0,1.7447113e-07,-1.6206764e-08,0.9994718,2.1376305e-05,-6.0793013e-06,-0.00011143085,0.00040459633,4.3153763e-05,-2.4080276e-05,0.07926684,-0.05241106,-0.0060845534,0.001875,0.000999999,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,-0.002390082538069237,0.003021442564204335,0.000529170036315918,1.38905930519104,0.0,2.7086836e-07,-1.10445086e-07,0.9994713,2.3135332e-05,-2.2617196e-05,-0.00011019756,0.00027656555,0.00028300285,7.224083e-05,-0.030735558,0.05757703,0.023127267,0.00225,0.0011999982,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,-0.002392062562989941,0.0034407179336994886,0.0005295872688293457,1.388916254043579,0.0,4.1545874e-07,-2.5176251e-07,0.99947083,3.4701698e-05,-3.3916185e-05,-0.00010901521,0.0006067753,6.4611435e-05,4.673004e-05,0.07925311,-0.052409466,-0.0061006187,0.002625,0.0013999972,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,-0.002394050616302502,0.0038612564094364643,0.0005300641059875488,1.3887559175491333,0.0,5.7103773e-07,-4.9639243e-07,0.9994704,3.7338952e-05,-5.8711183e-05,-0.00010782548,0.0004787445,0.00030446053,0.00014328957,-0.030756464,0.057564907,0.023135802,0.003,0.0015999958,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
