episode,total_reward,mean_form_error,max_form_error,form_var,mean_z_error,min_dyn_distance,collision,threat,r_terms,ic_chase_mode
0,-22.883546334603796,0.053738899528980255,0.06252497434616089,8.874877676134929e-05,0.0006429195636883378,0.10692667216062546,1.0,1.0,"{'r_form': -0.03813943405402824, 'r_form_var': -3.7274486239766694e-05, 'r_height': -0.00025716782547533515, 'r_smooth': -0.0010125772655010224, 'r_evade': -2.079219983518124, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.28398392200469974, 'collision': -8.0}",round_robin
1,-22.575541453989533,0.05371604487299919,0.05856257304549217,3.307045699330047e-05,0.0006549239042215049,0.10680519044399261,1.0,1.0,"{'r_form': -0.03585944926831871, 'r_form_var': -1.3889591937186195e-05, 'r_height': -0.00026196956168860196, 'r_smooth': -0.001034778580069542, 'r_evade': -2.0795844286680225, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.22516388893127443, 'collision': -8.0}",nearest
2,-3.489892773035216,0.08298734575510025,0.0835462138056755,2.294272007929976e-07,0.0006176471943035722,0.10192268341779709,1.0,1.0,"{'r_form': -0.05401736424770206, 'r_form_var': -9.635942433305899e-08, 'r_height': -0.0002470588777214289, 'r_smooth': -0.0007086516171693802, 'r_evade': -2.094231949746609, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.2234536647796631, 'collision': -8.0}",round_robin
3,-5.8504395464248224,0.05053884908556938,0.06104203686118126,9.610379493096843e-05,3.243684841436334e-05,0.10585485398769379,1.0,1.0,"{'r_form': -0.03696633368264884, 'r_form_var': -4.036359387100674e-05, 'r_height': -1.2974739365745336e-05, 'r_smooth': -0.001206573471426964, 'r_evade': -2.082435438036919, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.22119097709655763, 'collision': -8.0}",most_error
4,-13.491935974618238,0.04670845344662666,0.06549189239740372,0.00015482219168916345,8.721351332496852e-05,0.10486399382352829,1.0,1.0,"{'r_form': -0.03912878643255681, 'r_form_var': -6.502532050944865e-05, 'r_height': -3.488540532998741e-05, 'r_smooth': -0.0011201133579015732, 'r_evade': -2.0327576227486137, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.28471195697784424, 'collision': -8.0}",random
5,-17.882534834249046,0.043223507702350616,0.047681551426649094,8.125326530716848e-06,0.00011190176155650988,0.10283174365758896,1.0,1.0,"{'r_form': -0.028671885465737432, 'r_form_var': -3.4126371429010753e-06, 'r_height': -4.4760704622603956e-05, 'r_smooth': -0.0008698341995477676, 'r_evade': -2.0613963395357136, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.22564899921417236, 'collision': -8.0}",most_error
6,-3.097369032294604,0.08580993115901947,0.08749514818191528,1.9151846117893e-06,0.00014437436766456813,0.10655517131090164,1.0,1.0,"{'r_form': -0.05673080529086291, 'r_form_var': -8.043775369515059e-07, 'r_height': -5.7749747065827256e-05, 'r_smooth': -0.0010140428692102432, 'r_evade': -2.0803344860672954, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.21248302459716797, 'collision': -8.0}",random
7,-23.188300460403354,0.053939156234264374,0.058765579015016556,2.5317975087091327e-05,0.00029942989931441844,0.10386677086353302,1.0,1.0,"{'r_form': -0.03599021241534501, 'r_form_var': -1.0633549536578357e-05, 'r_height': -0.00011977195972576738, 'r_smooth': -0.0010058759152889252, 'r_evade': -2.0883996874094013, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.2232280731201172, 'collision': -8.0}",nearest
8,-21.97667769423002,0.04754732549190521,0.058058664202690125,6.507104990305379e-05,0.0004405975341796875,0.10979468375444412,1.0,1.0,"{'r_form': -0.03495496201561764, 'r_form_var': -2.732984095928259e-05, 'r_height': -0.000176239013671875, 'r_smooth': -0.0008864133059978485, 'r_evade': -2.070615948736668, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.2569883346557617, 'collision': -8.0}",round_robin
9,-2.816814861165226,0.07065124064683914,0.07456253468990326,9.910732842399739e-06,0.0003124237118754536,0.1056390032172203,1.0,1.0,"{'r_form': -0.04700660251080989, 'r_form_var': -4.16250779380789e-06, 'r_height': -0.00012496948475018143, 'r_smooth': -0.0014385917782783508, 'r_evade': -2.0830829903483394, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.24335927963256837, 'collision': -8.0}",most_error
