step,reward,mean_form_error_m,mean_z_error_m,min_dyn_distance_m,collision_flag,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,roll_rad,pitch_rad,yaw_rad,wx_rps,wy_rps,wz_rps,x_des_m,y_des_m,z_des_m,roll_cmd_unit,pitch_cmd_unit,yaw_rate_cmd_unit,thrust_cmd_unitless,thrust_actual_N
0,-0.0022402449860020684,0.0006736929062753916,0.0005227327346801758,inf,0.0,0.0,0.0,0.9994778,0.0,0.0,-0.00011654296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,0.0,-0.0,0.0,0.253501280299879
1,-0.0022424684582222428,0.0009981249459087849,0.0005232095718383789,inf,0.0,0.0,0.0,0.99947727,0.0,0.0,-0.00011535358,0.0,0.0,0.0,0.0,0.0,0.0,0.000375,0.0002,1.0,-0.0004,0.00075,-0.0,0.0,0.253501280299879
2,-0.0022436377403723565,0.0013782801106572151,0.0005236268043518066,inf,0.0,0.0,0.0,0.9994768,0.0,0.0,-0.000113977134,-0.00012803078,0.00023984909,0.0,-0.030714178,0.057589088,0.0,0.00075,0.00039999993,1.0,-0.00079999986,0.0015,-0.0,0.0,0.253501280299879
3,-0.0022455318779176885,0.0017788961995393038,0.0005241036415100098,inf,0.0,4.086838e-08,2.1796469e-08,0.9994764,9.808411e-06,5.2311525e-06,-0.00011283008,0.00020241737,2.1457672e-05,0.0,0.07927969,-0.052410748,-1.2316217e-05,0.001125,0.0005999998,1.0,-0.0011947249,0.0022401097,1.1761120849542168e-06,0.0,0.253501280299879
4,-0.0022474649986074387,0.002188636688515544,0.0005245804786682129,inf,0.0,8.5403066e-08,9.123746e-09,0.9994759,1.0688324e-05,-3.0414533e-06,-0.000111810965,7.43866e-05,0.00026154518,1.1920929e-06,-0.03072544,0.05758821,0.00028527447,0.0015,0.00079999946,1.0,-0.0016030221,0.0029891408,-2.7810887925499436e-05,0.0,0.253501280299879
5,-0.0022494201874579184,0.002603312488645315,0.000525057315826416,inf,0.0,1.7447118e-07,-1.6206629e-08,0.9994754,2.1376349e-05,-6.07929e-06,-0.000110579174,0.00040459633,4.3153763e-05,-2.4080276e-05,0.07926684,-0.05241106,-0.0060845534,0.001875,0.000999999,1.0,-0.0020061096,0.0037282745,0.0005925295270849625,0.0,0.253501280299879
6,-0.0022513898601763684,0.0030207973904907703,0.0005254745483398438,inf,0.0,2.7086855e-07,-1.10444816e-07,0.99947494,2.3135372e-05,-2.2617165e-05,-0.00010939852,0.00027656555,0.00028300285,7.224083e-05,-0.030735558,0.05757703,0.023127267,0.00225,0.0011999982,1.0,-0.0024228345,0.004476323,-0.0022429838752957153,0.0,0.253501280299879
7,-0.00225337049391892,0.0034401603043079376,0.0005259513854980469,inf,0.0,4.1545914e-07,-2.5176215e-07,0.9994745,3.470174e-05,-3.3916156e-05,-0.00010820381,0.0006067753,6.4611435e-05,4.673004e-05,0.07925311,-0.052409466,-0.0061006187,0.002625,0.0013999972,1.0,-0.0028344141,0.0052144676,0.0005602542152140078,0.0,0.253501280299879
8,-0.0022553580283056368,0.003860750701278448,0.0005263686180114746,inf,0.0,5.7103824e-07,-4.9639146e-07,0.99947405,3.7338985e-05,-5.871104e-05,-0.00010720095,0.0004787445,0.00030446053,0.00014328957,-0.030756464,0.057564907,0.023135802,0.003,0.0015999958,1.0,-0.0032596954,0.0059615187,-0.002277722012864464,0.0,0.253501280299879
9,-0.0022573530999350625,0.004282250069081783,0.0005267858505249023,inf,0.0,7.7846386e-07,-8.224824e-07,0.99947363,4.9782146e-05,-7.826181e-05,-0.00010596365,0.0008087158,8.606911e-05,0.00011777878,0.079239376,-0.052407872,-0.006116672,0.003375,0.0017999939,1.0,-0.0036798946,0.0066986615,0.000527863955172451,0.0,0.253501280299879
10,-0.0022593536560645594,0.004704394843429327,0.0005272626876831055,inf,0.0,1.0005307e-06,-1.2862506e-06,0.9994732,5.3296044e-05,-0.00011130437,-0.000104973326,0.00068068504,0.0003259182,0.00021409988,-0.030777361,0.05755279,0.023144327,0.00375,0.0019999917,1.0,-0.00411386,0.007444703,-0.002312345646936385,0.0,0.253501280299879
11,-0.002261359878891381,0.005127062555402517,0.0005276799201965332,inf,0.0,1.2780905e-06,-1.865823e-06,0.99947274,6.661436e-05,-0.00013909738,-0.00010391619,0.0010106564,0.00010752678,0.0001885891,0.07922566,-0.052406278,-0.006132712,0.004125,0.0021999888,1.0,-0.0045428067,0.008180829,0.0004955861975957386,0.0,0.253501280299879
12,-0.0022633702907442067,0.005550132133066654,0.0005280971527099609,inf,0.0,1.5739379e-06,-2.6173998e-06,0.9994723,7.1003364e-05,-0.00018037845,-0.000102702135,0.00088238716,0.00034737587,0.00028514862,-0.030798247,0.057540674,0.02315284,0.0045,0.0023999857,1.0,-0.004985585,0.008925849,-0.0023470817834731505,0.0,0.253501280299879
13,-0.0022653858947214774,0.0059735518880188465,0.0005285143852233887,inf,0.0,1.9289182e-06,-3.5190847e-06,0.9994719,8.5195294e-05,-0.00021640437,-0.00010169668,0.0012123585,0.00012874603,0.00025963783,0.07921194,-0.052404687,-0.0061487397,0.004875,0.0025999816,1.0,-0.0054234057,0.009660947,0.0004631934918484242,0.0,0.253501280299879
14,-0.002267404407666618,0.006397256162017584,0.0005289316177368164,inf,0.0,2.3058258e-06,-4.6270607e-06,0.9994715,9.045779e-05,-0.0002659142,-0.00010065698,0.0010840893,0.00036859512,0.00035619736,-0.030819124,0.05752856,0.023161342,0.00525,0.002799977,1.0,-0.0058751223,0.01040493,-0.0023818170306623677,0.0,0.253501280299879
15,-0.002269428297282867,0.006821229122579098,0.0005293488502502441,inf,0.0,2.7454998e-06,-5.919409e-06,0.99947107,0.000105521794,-0.00031016368,-9.960973e-05,0.0014138222,0.0001502037,0.00033044815,0.079198234,-0.052403096,-0.0061647547,0.005625,0.0029999719,1.0,-0.006321946,0.011138988,0.00043091334415017624,0.0,0.253501280299879
16,-0.0022714555196198492,0.007245407905429602,0.0005297660827636719,inf,0.0,3.2107341e-06,-7.452297e-06,0.99947065,0.00011165623,-0.00036789302,-9.858238e-05,0.001285553,0.00038981438,0.00042700768,-0.030839989,0.057516444,0.023169836,0.006,0.003199966,1.0,-0.006782729,0.011881922,-0.00241643755201787,0.0,0.253501280299879
17,-0.002273486890711138,0.007669810205698013,0.0005301237106323242,inf,0.0,3.7423622e-06,-9.203783e-06,0.99947023,0.00012759073,-0.0004203567,-9.753138e-05,0.0016152859,0.00017142296,0.00040125847,0.07918454,-0.052401505,-0.0061807567,0.006375,0.003399959,1.0,-0.0072386824,0.012614924,0.00039863197359904946,0.0,0.253501280299879
18,-0.0022755222273197436,0.008094396442174911,0.000530540943145752,inf,0.0,4.303177e-06,-1.1230017e-05,0.9994699,0.00013459551,-0.0004862962,-9.650742e-05,0.0014867783,0.00041103363,0.000497818,-0.030860843,0.05750433,0.023178317,0.00675,0.0035999515,1.0,-0.0077086594,0.013356798,-0.0024510567393520497,0.0,0.253501280299879
19,-0.002277561112843978,0.008519181050360203,0.0005309581756591797,inf,0.0,4.934005e-06,-1.3509036e-05,0.99946946,0.00015139884,-0.0005469644,-9.563874e-05,0.0018167496,0.00019264221,0.0004720688,0.079170845,-0.052399915,-0.0061967466,0.007125,0.0037999428,1.0,-0.008173868,0.014088733,0.0003663494913634875,0.0,0.253501280299879
20,-0.0022796035703737303,0.008944129571318626,0.000531315803527832,inf,0.0,5.59764e-06,-1.6096972e-05,0.99946904,0.00015927241,-0.00062110473,-9.45745e-05,0.0016880035,0.00043225288,0.0005686283,-0.030881688,0.05749222,0.023186788,0.0075,0.003999933,1.0,-0.008653165,0.014829532,-0.0024856752596755685,0.0,0.253501280299879
21,-0.002281649966579426,0.009369254112243652,0.0005317330360412598,inf,0.0,6.3349034e-06,-1.8971841e-05,0.9994687,0.00017694315,-0.0006899687,-9.3530456e-05,0.0020177364,0.00021362305,0.0005428791,0.07915716,-0.052398328,-0.006212724,0.007875,0.004199923,1.0,-0.009127758,0.015560388,0.0003340657862750468,0.0,0.253501280299879
22,-0.0022836995859674063,0.009794536046683788,0.0005320906639099121,inf,0.0,7.1085865e-06,-2.2189757e-05,0.99946827,0.0001856839,-0.0007723,-9.269387e-05,0.0018892288,0.00045323372,0.00063943863,-0.030902522,0.057480104,0.023195248,0.00825,0.004399911,1.0,-0.009616502,0.016300099,-0.0025202924459777646,0.0,0.253501280299879
23,-0.0022857536266157703,0.010220021940767765,0.0005324482917785645,inf,0.0,7.959505e-06,-2.5728717e-05,0.9994679,0.00020422043,-0.0008493501,-9.159552e-05,0.0022187233,0.00023460388,0.0006136894,0.07914348,-0.05239674,-0.0062286886,0.008625,0.0045998986,1.0,-0.010100605,0.017029861,0.0003017808583337273,0.0,0.253501280299879
24,-0.0022863221709725633,0.010645621456205845,0.0005328655242919922,inf,0.0,8.85045e-06,-2.9644814e-05,0.99946755,0.00021382679,-0.0009398634,-9.077419e-05,0.0020902157,0.00047421455,0.00071024895,-0.030923344,0.057467997,0.023203699,0.009,0.0047998847,1.0,-0.010598923,0.017768472,-0.0025549089652693,0.0,0.253501280299879
25,-0.002289183147714357,0.011071400716900826,0.0005332231521606445,inf,0.0,9.822231e-06,-3.391602e-05,0.99946713,0.00023322742,-0.0010250899,-8.985537e-05,0.0018246174,0.00025558472,0.00068449974,-0.06370316,-0.052496616,-0.006176905,0.009375,0.00499987,1.0,-0.011092662,0.018497128,0.0002630264272374033,0.0,0.253501280299879
26,-0.0022897580099597694,0.011497297324240208,0.0005335807800292969,inf,0.0,1.0837568e-05,-3.8497063e-05,0.9994668,0.00024368094,-0.0010994496,-8.8758825e-05,0.0020172596,0.0004951954,0.00078105927,0.04622931,0.05752559,0.023158185,0.00975,0.0051998533,1.0,-0.011576151,0.019234644,-0.0025843721601929138,0.0,0.253501280299879
27,-0.002292625604094066,0.011923332698643208,0.0005339384078979492,inf,0.0,1.1937307e-05,-4.3420667e-05,0.9994664,0.0002639373,-0.0011816653,-8.793129e-05,0.0017516613,0.00027680397,0.00075531006,-0.06370167,-0.052497275,-0.0061755404,0.010125,0.0053998358,1.0,-0.0120681785,0.019962188,0.000229086701430032,0.0,0.253501280299879
28,-0.00229320645925036,0.012349449098110199,0.0005342960357666016,inf,0.0,1.3084167e-05,-4.8641563e-05,0.99946606,0.0002752464,-0.001253015,-8.6997876e-05,0.0019445419,0.0005161762,0.0008518696,0.046223637,0.057534844,0.023149235,0.0105,0.0055998173,1.0,-0.012549933,0.020698585,-0.002617326933590677,0.0,0.253501280299879
29,-0.002296080684218032,0.012775716371834278,0.0005346536636352539,inf,0.0,1.4318998e-05,-5.4192482e-05,0.9994657,0.00029635947,-0.0013322209,-8.613167e-05,0.0016789436,0.0002977848,0.00082588196,-0.06370017,-0.05249793,-0.0061741713,0.010875,0.005799797,1.0,-0.013040199,0.021425001,0.0001952603674350535,0.0,0.253501280299879
30,-0.0022966671297763243,0.01320205070078373,0.0005350112915039062,inf,0.0,1.5604519e-05,-6.0028156e-05,0.99946535,0.00030852502,-0.0014005614,-8.520795e-05,0.0018718243,0.0005373955,0.0009224415,0.046217963,0.057544097,0.023140283,0.01125,0.005999775,1.0,-0.013520167,0.022160267,-0.0026501676481653865,0.0,0.253501280299879
31,-0.002299547260043619,0.013628514483571053,0.0005353689193725586,inf,0.0,1.6981585e-05,-6.618131e-05,0.999465,0.00033049568,-0.0014767577,-8.43391e-05,0.001606226,0.00031876564,0.0008966923,-0.06369868,-0.05249859,-0.0061727976,0.011625,0.0061997515,1.0,-0.014008623,0.02288554,0.000161319752280134,0.0,0.253501280299879
32,-0.0023001403309084716,0.014055050909519196,0.0005357265472412109,inf,0.0,1.8412911e-05,-7.260669e-05,0.99946463,0.0003435186,-0.0015420896,-8.3416584e-05,0.0017988682,0.0005583763,0.0009930134,0.046212293,0.057553343,0.02313133,0.012,0.006399727,1.0,-0.014486757,0.023619656,-0.002683008362740096,0.0,0.253501280299879
33,-0.0023030263268883576,0.014481650665402412,0.0005360245704650879,inf,0.0,1.993936e-05,-7.9337005e-05,0.9994643,0.00036634773,-0.0016152769,-8.25471e-05,0.0015332699,0.0003399849,0.0009672642,-0.06369718,-0.052499246,-0.0061714198,0.012375,0.0065997005,1.0,-0.014973352,0.024343774,0.0001274925845218291,0.0,0.253501280299879
34,-0.0023036251804340285,0.014908358454704285,0.0005363821983337402,inf,0.0,2.1523647e-05,-8.632701e-05,0.999464,0.00038022888,-0.0016776007,-8.1625345e-05,0.0017261505,0.00057959557,0.0010635853,0.046206627,0.057562586,0.023122374,0.01275,0.0067996723,1.0,-0.015449599,0.025076723,-0.0027158486326410314,0.0,0.253501280299879
