step,reward,mean_form_error_m,mean_z_error_m,min_dyn_distance_m,collision_flag,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,roll_rad,pitch_rad,yaw_rad,wx_rps,wy_rps,wz_rps,x_des_m,y_des_m,z_des_m,ic_pos_jitter_d0_x_m,ic_pos_jitter_d0_y_m,ic_pos_jitter_d0_z_m,ic_yaw_jitter_d0_rad,ic_vel_jitter_d0_x_mps,ic_vel_jitter_d0_y_mps,ic_vel_jitter_d0_z_mps,ic_pos_jitter_d1_x_m,ic_pos_jitter_d1_y_m,ic_pos_jitter_d1_z_m,ic_yaw_jitter_d1_rad,ic_vel_jitter_d1_x_mps,ic_vel_jitter_d1_y_mps,ic_vel_jitter_d1_z_mps,ic_pos_jitter_d2_x_m,ic_pos_jitter_d2_y_m,ic_pos_jitter_d2_z_m,ic_yaw_jitter_d2_rad,ic_vel_jitter_d2_x_mps,ic_vel_jitter_d2_y_mps,ic_vel_jitter_d2_z_mps,ic_pos_jitter_d3_x_m,ic_pos_jitter_d3_y_m,ic_pos_jitter_d3_z_m,ic_yaw_jitter_d3_rad,ic_vel_jitter_d3_x_mps,ic_vel_jitter_d3_y_mps,ic_vel_jitter_d3_z_mps,ic_pos_jitter_d4_x_m,ic_pos_jitter_d4_y_m,ic_pos_jitter_d4_z_m,ic_yaw_jitter_d4_rad,ic_vel_jitter_d4_x_mps,ic_vel_jitter_d4_y_mps,ic_vel_jitter_d4_z_mps,ic_obstacle_jitter_x_m,ic_obstacle_jitter_y_m,ic_obstacle_jitter_z_m,ic_dynamic_jitter_x_m,ic_dynamic_jitter_y_m,ic_dynamic_jitter_z_m,episode,max_steps,timestamp_unix
,,,,,,,,,,,,,,,,,,,,,-0.14465563001200546,-0.14854429030631583,0.13230985230707953,-0.3942350435619599,-0.19427155067240964,-0.18375368979775014,-0.155493227282115,0.03912389375913683,-0.1775415992147184,0.042041845734895944,0.23495581462358983,0.02754301642946627,-0.012547160699265536,0.12338854527788107,0.004245012219168731,-0.10959165350511368,0.2919712018545067,0.10530915774044125,0.1373656307238612,0.19247327258582725,0.07664626151000803,0.28837087483285845,0.010106056758534543,0.22250349716418566,0.13162806749531097,-0.18728621311935068,0.12547576607138217,0.0628455980920482,0.27997913867856067,-0.2502309685092489,-0.07694246552355624,0.18218510428371792,-0.17617897620859535,-0.030392819158436696,-0.11736510192955577,0.38958979459309295,-0.19827315337028584,-0.020432099895347833,-0.0760279356205687,0.17160145894611545,-0.18291124951065926,74.0,1000.0,1764625016.4138973
0.0,-0.0021587844238395468,0.0006557291490025818,0.0004993677139282227,1.207654595375061,0.0,0.0,0.0,1.000499,0.0,0.0,0.00011122265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,-0.00216103114084126,0.00098607805557549,0.0004998445510864258,1.2076208591461182,0.0,0.0,0.0,1.0004994,0.0,0.0,0.00011003077,0.0,0.0,0.0,0.0,0.0,0.0,0.000375,0.0002,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,-0.0021622138626390787,0.0013695958768948913,0.0005003213882446289,1.207570195198059,0.0,0.0,0.0,1.0004998,0.0,0.0,0.00010920681,-0.00012803078,0.00023984909,0.0,-0.030714178,0.057589088,0.0,0.00075,0.00039999993,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,-0.002164115578534939,0.0017721696058288217,0.000500798225402832,1.2075029611587524,0.0,4.0866e-08,2.1795199e-08,1.0005003,9.80784e-06,5.230848e-06,0.00010792702,0.00020241737,2.1457672e-05,0.0,0.07927969,-0.052410748,-1.2316217e-05,0.001125,0.0005999998,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,-0.002166052438746647,0.002183140954002738,0.0005011558532714844,1.2074190378189087,0.0,8.539811e-08,9.123015e-09,1.0005008,1.0687708e-05,-3.041324e-06,0.00010675644,7.43866e-05,0.00026154518,1.1920929e-06,-0.03072544,0.05758821,0.00028527447,0.0015,0.00079999946,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,-0.0021680111642080196,0.002598689403384924,0.0005016326904296875,1.2073181867599487,0.0,1.7446106e-07,-1.6206084e-08,1.0005012,2.1375108e-05,-6.078984e-06,0.00010555887,0.00040459633,4.3153763e-05,-2.4080276e-05,0.07926684,-0.05241106,-0.0060845534,0.001875,0.000999999,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,-0.002169983199970648,0.0030168211087584496,0.0005021095275878906,1.2072007656097412,0.0,2.7085292e-07,-1.10439686e-07,1.0005016,2.3134047e-05,-2.2616065e-05,0.000104734376,0.00027656555,0.00028300285,7.224083e-05,-0.030735558,0.05757703,0.023127267,0.00225,0.0011999982,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,-0.00217196475948922,0.0034366485197097063,0.000502467155456543,1.207066535949707,0.0,4.1543512e-07,-2.5174964e-07,1.0005021,3.469973e-05,-3.3914384e-05,0.000103456405,0.0006067753,6.4611435e-05,4.673004e-05,0.07925311,-0.052409466,-0.0061006187,0.002625,0.0013999972,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,-0.0021739539193344174,0.003857626812532544,0.0005029439926147461,1.2069159746170044,0.0,5.710053e-07,-4.963662e-07,1.0005025,3.7336835e-05,-5.8707978e-05,0.00010228032,0.0004787445,0.00030446053,0.00014328957,-0.030756464,0.057564907,0.023135802,0.003,0.0015999958,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,-0.0021759494989128146,0.0042794244363904,0.0005033016204833984,1.206748604774475,0.0,7.7841935e-07,-8.2244026e-07,1.000503,4.977938e-05,-7.825778e-05,0.000101453676,0.0008087158,8.606911e-05,0.00011777878,0.079239376,-0.052407872,-0.006116672,0.003375,0.0017999939,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,-0.0021779511155133155,0.004701821133494377,0.0005037784576416016,1.2065649032592773,0.0,1.0004738e-06,-1.2861842e-06,1.0005033,5.329309e-05,-0.000111298534,0.00010016909,0.00068068504,0.0003259182,0.00021409988,-0.030777361,0.05755279,0.023144327,0.00375,0.0019999917,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,-0.0021799574774184296,0.005124692805111408,0.0005041360855102539,1.2063648700714111,0.0,1.278019e-06,-1.8657271e-06,1.0005038,6.661081e-05,-0.0001390903,9.936878e-05,0.0010106564,0.00010752678,0.0001885891,0.07922566,-0.052406278,-0.006132712,0.004125,0.0021999888,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,-0.0021819684275211342,0.005547946784645319,0.000504612922668457,1.206148386001587,0.0,1.5738505e-06,-2.6172643e-06,1.0005041,7.099955e-05,-0.0001803689,9.807547e-05,0.00088238716,0.00034737587,0.00028514862,-0.030798247,0.057540674,0.02315284,0.0045,0.0023999857,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,-0.0021839839307744133,0.00597151555120945,0.0005049705505371094,1.205915093421936,0.0,1.9288125e-06,-3.5189028e-06,1.0005046,8.519087e-05,-0.00021639325,9.7278054e-05,0.0012123585,0.00012874603,0.00025963783,0.07921194,-0.052404687,-0.0061487397,0.004875,0.0025999816,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,-0.002186002981640923,0.006395347416400909,0.0005053281784057617,1.2056657075881958,0.0,2.3057003e-06,-4.6268206e-06,1.000505,9.0453075e-05,-0.00026590028,9.598155e-05,0.0010840893,0.00036859512,0.00035619736,-0.030819124,0.05752856,0.023161342,0.00525,0.002799977,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,-0.002188027378184052,0.006819442845880985,0.0005058050155639648,1.2054001092910767,0.0,2.7453518e-06,-5.9191034e-06,1.0005053,0.00010551642,-0.00031014785,9.518573e-05,0.0014138222,0.0001502037,0.00033044815,0.079198234,-0.052403096,-0.0061647547,0.005625,0.0029999719,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
