episode,steps,total_reward,mean_form_error,max_form_error,form_var,mean_z_error,min_dyn_distance,collision,threat,r_terms
0,1000,-12.03211886887731,0.04692249372601509,0.055947378277778625,5.074986256659031e-05,0.0001289129286305979,0.22247278690338135,0.0,1.0,"{'r_form': -0.033695625339169054, 'r_form_var': -2.131494227796793e-05, 'r_height': -5.156517145223916e-05, 'r_smooth': -0.0009143274277448654, 'r_evade': -1.6906650938093664, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.27419233322143555, 'collision': 0.0}"
1,384,-2.842227551746247,0.07459123432636261,0.07672181725502014,7.0431660788017325e-06,0.0001337051362497732,0.10275058448314667,1.0,1.0,"{'r_form': -0.04881365843117237, 'r_form_var': -2.9581297530967273e-06, 'r_height': -5.3482054499909286e-05, 'r_smooth': -0.0013638214766979217, 'r_evade': -2.0917482465505604, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.2250083923339844, 'collision': -8.0}"
2,1000,-15.06266635756679,0.058453045785427094,0.06721989065408707,3.311652108095586e-05,0.00012938976578880101,0.40942853689193726,0.0,1.0,"{'r_form': -0.0412655084207654, 'r_form_var': -1.390893885400146e-05, 'r_height': -5.175590631552041e-05, 'r_smooth': -0.000961248129606247, 'r_evade': -1.1251958437263967, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.2570497512817383, 'collision': 0.0}"
3,368,-2.829526447696124,0.07888170331716537,0.0797659158706665,9.828042948356597e-07,0.00032045840634964406,0.10412885993719101,1.0,1.0,"{'r_form': -0.051203384250402446, 'r_form_var': -4.12777803830977e-07, 'r_height': -0.00012818336253985762, 'r_smooth': -0.001319059431552887, 'r_evade': -2.0876134201884273, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.2284029722213745, 'collision': -8.0}"
4,1000,-13.471733427446152,0.05909067392349243,0.06701242923736572,3.386450407560915e-05,0.0003961801412515342,0.23681993782520294,0.0,1.0,"{'r_form': -0.04122881135437638, 'r_form_var': -1.422309171175584e-05, 'r_height': -0.0001584720565006137, 'r_smooth': -0.0009763018786907196, 'r_evade': -1.6433696687221528, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.2740199565887451, 'collision': 0.0}"
5,402,-3.14898620994258,0.07164458185434341,0.07390018552541733,6.8137146627123e-06,0.00012676716141868383,0.10801438242197037,1.0,1.0,"{'r_form': -0.046780851623043414, 'r_form_var': -2.8617601583391655e-06, 'r_height': -5.0706864567473533e-05, 'r_smooth': -0.0014479151368141175, 'r_evade': -2.0759568527340893, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.22446646690368655, 'collision': -8.0}"
6,645,-4.492029367084635,0.044717930257320404,0.04901064932346344,1.4133433978713583e-05,0.00044764281483367085,0.10944814234972,1.0,1.0,"{'r_form': -0.029560481456574052, 'r_form_var': -5.936042271059705e-06, 'r_height': -0.00017905712593346834, 'r_smooth': -0.0010037387907505036, 'r_evade': -2.0716555729508404, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.24977869987487794, 'collision': -8.0}"
7,1000,-14.714042913014271,0.05807257816195488,0.0657593160867691,1.9216586224501953e-05,6.960630707908422e-05,0.43219003081321716,0.0,1.0,"{'r_form': -0.04038644050480798, 'r_form_var': -8.07096621429082e-06, 'r_height': -2.784252283163369e-05, 'r_smooth': -0.00099127396941185, 'r_evade': -1.0551248654723169, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.2829771995544434, 'collision': 0.0}"
8,337,-2.893542830162808,0.08323061466217041,0.0844632238149643,1.3743829185841605e-06,0.0005116701358929276,0.10764403641223907,1.0,1.0,"{'r_form': -0.054574549160897726, 'r_form_var': -5.772408258053474e-07, 'r_height': -0.00020466805435717108, 'r_smooth': -0.0013695962727069855, 'r_evade': -2.077067890763283, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.22024993896484377, 'collision': -8.0}"
9,456,-2.8326174421423396,0.062155961990356445,0.06845428794622421,2.470198342052754e-05,0.0003146171511616558,0.10505342483520508,1.0,1.0,"{'r_form': -0.04241686998400837, 'r_form_var': -1.0374833036621566e-05, 'r_height': -0.00012584686046466232, 'r_smooth': -0.0016046522557735443, 'r_evade': -2.084839725494385, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.2183091163635254, 'collision': -8.0}"
