step,reward,mean_form_error_m,mean_z_error_m,min_dyn_distance_m,collision_flag,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,roll_rad,pitch_rad,yaw_rad,wx_rps,wy_rps,wz_rps,x_des_m,y_des_m,z_des_m,ic_pos_jitter_d0_x_m,ic_pos_jitter_d0_y_m,ic_pos_jitter_d0_z_m,ic_yaw_jitter_d0_rad,ic_vel_jitter_d0_x_mps,ic_vel_jitter_d0_y_mps,ic_vel_jitter_d0_z_mps,ic_pos_jitter_d1_x_m,ic_pos_jitter_d1_y_m,ic_pos_jitter_d1_z_m,ic_yaw_jitter_d1_rad,ic_vel_jitter_d1_x_mps,ic_vel_jitter_d1_y_mps,ic_vel_jitter_d1_z_mps,ic_pos_jitter_d2_x_m,ic_pos_jitter_d2_y_m,ic_pos_jitter_d2_z_m,ic_yaw_jitter_d2_rad,ic_vel_jitter_d2_x_mps,ic_vel_jitter_d2_y_mps,ic_vel_jitter_d2_z_mps,ic_pos_jitter_d3_x_m,ic_pos_jitter_d3_y_m,ic_pos_jitter_d3_z_m,ic_yaw_jitter_d3_rad,ic_vel_jitter_d3_x_mps,ic_vel_jitter_d3_y_mps,ic_vel_jitter_d3_z_mps,ic_pos_jitter_d4_x_m,ic_pos_jitter_d4_y_m,ic_pos_jitter_d4_z_m,ic_yaw_jitter_d4_rad,ic_vel_jitter_d4_x_mps,ic_vel_jitter_d4_y_mps,ic_vel_jitter_d4_z_mps,ic_obstacle_jitter_x_m,ic_obstacle_jitter_y_m,ic_obstacle_jitter_z_m,ic_dynamic_jitter_x_m,ic_dynamic_jitter_y_m,ic_dynamic_jitter_z_m,ic_disable_dynamic_flag,ic_chase_mode
,,,,,,,,,,,,,,,,,,,,,0.007664967540308709,-0.27122004306651526,-0.13548734589686345,0.10912825156902473,-0.010605467988188566,-0.030642544585825965,0.13067847631704338,-0.20236753588020895,0.12448326017186773,-0.2752615622066373,0.2554201139715355,0.043195079227333455,0.0914508621213681,-0.05090120216728092,-0.19793823484078385,-0.23238976057184907,0.11448525248427865,-0.3768372812454093,0.08634532116577531,-0.025787494788423515,0.1782760321994557,0.22711207832042762,0.04968210260137329,0.2128137364474893,0.26034660503769913,0.17655651860092902,0.13129954717533765,-0.1482057801429266,0.280271613078058,-0.2732615337744658,-0.12256913877369682,-0.035441647990906155,0.06990967456939995,-0.17610452173105504,-0.15928745776501524,0.2239641089028428,0.3112795202778452,0.3199829721862886,0.32695617421669354,0.1051592870163629,-0.028962961070699067,0.0,nearest
0.0,0.0076672256143196105,0.0005982838338240981,0.00042110681533813477,1.734630823135376,0.0,0.0,0.0,0.9995793,0.0,0.0,-9.376078e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,0.007664898674654927,0.0009487558272667229,0.0004214644432067871,1.7345932722091675,0.0,0.0,0.0,0.9995789,0.0,0.0,-9.2902395e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000375,0.0002,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,0.007663673833665211,0.0013429091777652502,0.00042182207107543945,1.73453688621521,0.0,0.0,0.0,0.99957854,0.0,0.0,-9.181617e-05,-0.00012803078,0.00023984909,0.0,-0.030714178,0.057589088,0.0,0.00075,0.00039999993,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,0.0076617474209600455,0.0017515914514660835,0.0004222393035888672,1.7344616651535034,0.0,4.0868084e-08,2.179631e-08,0.9995782,9.80834e-06,5.2311143e-06,-9.096891e-05,0.00020241737,2.1457672e-05,0.0,0.07927969,-0.052410748,-1.2316217e-05,0.001125,0.0005999998,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,0.007659794702303134,0.0021664570085704327,0.00042259693145751953,1.734367847442627,0.0,8.540247e-08,9.123523e-09,0.99957776,1.0688252e-05,-3.041469e-06,-9.006337e-05,7.43866e-05,0.00026154518,1.1920929e-06,-0.03072544,0.05758821,0.00028527447,0.0015,0.00079999946,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,0.007657825814228544,0.0025846553035080433,0.0004229545593261719,1.734255075454712,0.0,1.7447012e-07,-1.620687e-08,0.9995774,2.1376236e-05,-6.0792945e-06,-8.898888e-05,0.00040459633,4.3153763e-05,-2.4080276e-05,0.07926684,-0.05241106,-0.0060845534,0.001875,0.000999999,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,0.007655845954405595,0.0030047111213207245,0.0004233121871948242,1.7341238260269165,0.0,2.7086696e-07,-1.10444525e-07,0.99957705,2.3135244e-05,-2.2617036e-05,-8.8139226e-05,0.00027656555,0.00028300285,7.224083e-05,-0.030735558,0.05757703,0.023127267,0.00225,0.0011999982,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,0.007653858327775652,0.0034260142128914595,0.00042366981506347656,1.7339739799499512,0.0,4.154567e-07,-2.5176098e-07,0.9995767,3.470153e-05,-3.391595e-05,-8.723473e-05,0.0006067753,6.4611435e-05,4.673004e-05,0.07925311,-0.052409466,-0.0061006187,0.002625,0.0013999972,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,0.007651864459346689,0.0038481331430375576,0.0004240274429321289,1.733805775642395,0.0,5.710349e-07,-4.963892e-07,0.99957633,3.733877e-05,-5.8710768e-05,-8.634771e-05,0.0004787445,0.00030446053,0.00014328957,-0.030756464,0.057564907,0.023135802,0.003,0.0015999958,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
