checkpoint,mfe_mean_avg,mdd_min_avg,collisions_any_total
ppo_multi_1146880_steps.zip,1.7615596055984497,inf,0
ppo_multi_1310720_steps.zip,0.32128605246543884,inf,6
ppo_multi_1474560_steps.zip,0.6309360861778259,inf,4
ppo_multi_1638400_steps.zip,0.2827129364013672,inf,7
ppo_multi_163840_steps.zip,0.13367867469787598,inf,5
ppo_multi_1802240_steps.zip,1.0919636487960815,inf,0
ppo_multi_327680_steps.zip,1.9255118370056152,inf,0
ppo_multi_491520_steps.zip,1.8542654514312744,inf,0
ppo_multi_655360_steps.zip,1.833417534828186,inf,0
ppo_multi_819200_steps.zip,1.3014421463012695,inf,0
ppo_multi_983040_steps.zip,1.702231764793396,inf,0
best_model.zip,1.3014421463012695,inf,0
